 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__19_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__20_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__21_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__22_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__23_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__24_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__25_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__26_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__27_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__28_  (DFFR_X1)
